627235.1673,5646887.116,2029
627325.1673,5646870.116,1975
627311.1673,5646963.116,2008
627296.1673,5646828.116,1987
627230.1673,5646817.116,2011
627225.1673,5646820.116,2013
627178.1673,5646753.116,2024
627247.1673,5646724.116,1995
627179.1673,5646747.116,2023
627177.1673,5646749.116,2024
627158.1673,5646724.116,2020
627142.1673,5646747.116,2032
627079.1673,5646724.116,2058
627144.1673,5646660.116,2030
627180.1673,5646692.116,2019
627180.1673,5646690.116,2019
627199.1673,5646664.116,2007
627231.1673,5646664.116,2002
627226.1673,5646623.116,1981
627162.1673,5646597.116,1993
627147.1673,5646618.116,2003
627165.1673,5646663.116,2025
627145.1673,5646657.116,2029
627108.1673,5646643.116,2034
627137.1673,5646625.116,2011
627137.1673,5646614.116,2005
627143.1673,5646617.116,2004
627158.1673,5646595.116,1995
627129.1673,5646587.116,2001
627079.1673,5646623.116,2039
627083.1673,5646629.116,2039
627043.1673,5646659.116,2055
627049.1673,5646664.116,2054
627046.1673,5646664.116,2055
627009.1673,5646708.116,2081
627024.1673,5646771.116,2084
627055.1673,5646829.116,2084
626970.1673,5646814.116,2122
626981.1673,5646847.116,2123
626967.1673,5646817.116,2124
626940.1673,5646838.116,2126
626918.1673,5646939.116,2116
627008.1673,5646922.116,2115
627031.1673,5646880.116,2106
627055.1673,5646930.116,2098
627058.1673,5646879.116,2095
627057.1673,5646877.116,2095
627055.1673,5646872.116,2095
627200.1673,5646883.116,2043
627185.1673,5646922.116,2049
627200.1673,5646884.116,2043
627212.1673,5646913.116,2041
627254.1673,5646979.116,2028
627184.1673,5646925.116,2049
627173.1673,5647037.116,2038
627255.1673,5647047.116,2020
627256.1673,5647048.116,2020
627294.1673,5647069.116,2010
627333.1673,5647089.116,1999
627297.1673,5647076.116,2008
627256.1673,5647100.116,1984
627284.1673,5647132.116,1973
627246.1673,5647119.116,1989
627264.1673,5647168.116,1980
627290.1673,5647136.116,1970
627279.1673,5647175.116,1974
627283.1673,5647176.116,1973
627313.1673,5647153.116,1962
627333.1673,5647140.116,1970
627383.1673,5647110.116,1975
627370.1673,5647146.116,1952
627400.1673,5647146.116,1945
627419.1673,5647119.116,1958
627426.1673,5647101.116,1955
627422.1673,5647121.116,1957
627448.1673,5647129.116,1946
627442.1673,5647133.116,1947
627441.1673,5647138.116,1945
627409.1673,5647161.116,1940
627440.1673,5647153.116,1933
627442.1673,5647151.116,1933
627447.1673,5647153.116,1932
627495.1673,5647145.116,1922
627448.1673,5647160.116,1931
627439.1673,5647190.116,1940
627447.1673,5647193.116,1941
627489.1673,5647172.116,1925
627478.1673,5647223.116,1962
627434.1673,5647210.116,1951
